,ARI,DCR,DCR_V2,FRE,FKG,SMOG,CLI,LINSEAR,GF,Textstd,LexCount,Difficult Words,Difficulty,accepted,error,wrong answer
0,7.3,7.44,6.12,70.94,7.6,10.3,6.2,10.333333333333334,8.69,5,310,32,3.0,0.0,0.0,1.0
1,9.1,9.25,7.34,64.71,8.0,11.9,8.87,7.875,9.83,5,240,45,3.3,0.0,1.0,0.0
2,5.4,7.74,6.35,74.29,6.4,10.0,5.62,7.571428571428571,7.16,5,125,16,2.7,0.0,0.0,1.0
3,7.8,7.52,5.91,78.79,6.7,8.1,6.32,6.571428571428571,7.97,5,284,25,4.0,0.0,0.0,1.0
4,8.2,7.41,6.18,79.19,6.5,8.0,6.44,8.166666666666666,8.11,5,244,26,2.0,1.0,0.0,0.0
5,6.6,7.25,6.46,71.04,7.6,9.2,5.28,8.5,9.17,4,120,15,2.3,0.0,0.0,1.0
6,7.5,9.63,7.6,64.1,8.2,10.3,7.02,7.2857142857142865,9.18,5,109,22,2.4,0.0,0.0,1.0
7,8.1,8.07,6.88,66.44,7.3,9.8,8.57,5.555555555555555,8.13,6,385,63,3.8,0.0,1.0,0.0
8,14.4,8.25,6.98,52.12,12.8,13.0,9.29,21.0,13.59,10,548,69,1.7,0.0,0.0,1.0
9,8.5,8.13,7.01,63.29,8.5,10.9,8.35,7.7142857142857135,9.67,6,296,48,3.9,1.0,0.0,0.0
10,8.3,9.31,6.73,75.3,6.0,8.8,6.66,7.0,6.19,4,116,18,1.4,1.0,0.0,0.0
11,10.3,7.88,6.85,54.52,9.8,12.4,10.21,9.0,9.98,7,351,53,3.3,0.0,0.0,1.0
12,8.4,7.12,5.85,77.57,7.2,9.0,6.44,10.8,9.09,4,323,26,2.2,1.0,0.0,0.0
13,10.4,7.86,6.91,66.67,9.3,12.1,7.95,11.0,11.28,5,235,33,8.9,0.0,0.0,1.0
14,7.5,9.02,6.71,81.22,5.8,8.8,7.01,6.857142857142857,8.44,6,123,18,3.5,0.0,0.0,1.0
15,11.8,8.56,7.03,66.67,9.3,10.9,8.7,12.2,11.01,6,278,41,2.0,1.0,0.0,0.0
16,8.3,8.89,6.43,71.04,7.6,9.7,7.19,7.0,8.92,6,154,19,3.8,0.0,0.0,1.0
17,7.0,8.14,6.18,62.88,8.7,10.8,5.57,8.142857142857142,9.31,6,185,20,3.1,1.0,0.0,0.0
18,9.7,8.13,6.84,61.36,9.2,10.5,8.59,8.833333333333334,9.5,6,110,16,3.2,1.0,0.0,0.0
19,9.6,7.03,6.05,75.13,8.1,11.5,6.85,11.8,10.12,4,257,22,4.3,0.0,1.0,0.0
20,12.1,10.14,7.48,61.87,9.1,12.3,11.37,10.333333333333334,10.37,7,160,30,1.4,1.0,0.0,0.0
21,7.7,8.65,7.38,74.39,6.3,9.2,8.52,6.25,8.1,6,124,24,3.3,1.0,0.0,0.0
22,12.1,7.62,6.08,72.19,9.2,11.4,8.25,18.666666666666668,11.22,9,267,21,2.1,1.0,0.0,0.0
23,12.9,9.11,8.12,50.87,11.2,13.3,11.55,14.2,12.73,10,304,67,1.4,1.0,0.0,0.0
24,11.6,8.79,7.37,53.31,10.3,11.4,10.96,10.666666666666666,10.59,8,233,42,4.0,0.0,0.0,1.0
25,11.0,8.38,7.0,60.35,9.6,11.7,9.52,13.0,10.57,7,309,47,1.7,1.0,0.0,0.0
26,8.2,8.62,6.68,67.35,6.9,11.0,8.16,14.2,7.88,5,260,40,2.7,0.0,0.0,1.0
27,14.6,8.37,7.4,56.49,11.1,12.6,12.25,12.2,12.13,10,277,46,2.7,0.0,0.0,1.0
28,22.5,9.89,8.36,29.56,19.4,18.6,10.29,34.0,18.46,11,124,21,2.3,0.0,0.0,1.0
29,11.8,9.63,8.17,47.49,10.4,13.3,12.4,10.571428571428571,11.55,9,184,44,1.3,1.0,0.0,0.0
30,9.9,8.01,6.76,63.9,8.3,11.5,9.57,8.714285714285714,8.22,6,189,28,1.9,1.0,0.0,0.0
31,10.4,8.44,7.16,67.59,8.9,10.1,8.3,7.833333333333334,10.48,6,246,39,3.5,0.0,0.0,1.0
32,9.9,9.57,7.67,71.65,7.4,10.8,9.68,7.142857142857142,10.12,7,182,37,1.4,1.0,0.0,0.0
33,10.1,7.6,6.43,71.89,9.3,12.0,5.75,12.4,11.83,9,443,44,5.1,0.0,0.0,1.0
34,7.1,7.75,6.39,59.7,7.8,11.6,8.45,7.0,8.09,5,58,8,2.6,1.0,0.0,0.0
35,8.7,10.06,6.98,61.16,9.3,11.2,6.85,13.8,10.39,6,241,37,1.7,1.0,0.0,0.0
36,7.8,8.17,6.48,79.4,6.5,9.7,6.61,8.666666666666666,9.21,4,103,13,1.5,1.0,0.0,0.0
37,7.6,7.08,6.39,74.49,6.3,9.6,8.58,7.428571428571429,7.52,5,137,18,2.2,1.0,0.0,0.0
38,12.5,8.94,7.59,42.61,12.3,13.2,11.02,16.25,11.44,10,341,64,2.0,0.0,1.0,0.0
39,10.3,9.12,7.21,71.55,7.4,8.8,9.45,8.166666666666666,8.52,6,149,26,1.8,1.0,0.0,0.0
40,12.3,8.32,6.34,69.75,10.2,9.7,6.97,14.0,11.68,7,160,14,2.2,0.0,0.0,1.0
41,11.0,8.55,7.63,60.95,9.4,11.6,10.04,10.5,10.39,8,206,40,2.2,1.0,0.0,0.0
42,8.1,7.44,6.32,70.84,7.7,9.9,6.96,8.0,9.24,5,311,36,1.8,1.0,0.0,0.0
43,8.2,7.14,6.19,73.71,8.6,10.0,4.59,8.0,10.62,5,479,43,5.2,0.0,0.0,1.0
44,8.9,7.42,6.01,71.75,7.3,9.3,8.7,8.0,8.63,6,213,21,2.6,0.0,0.0,1.0
45,7.4,7.51,6.25,73.07,6.8,10.1,7.07,6.125,8.49,4,212,25,1.6,0.0,0.0,1.0
46,10.9,8.59,7.23,61.97,9.0,11.8,9.39,13.2,10.74,6,372,64,1.4,1.0,0.0,0.0
47,13.4,7.8,6.75,63.63,10.4,11.9,9.52,12.0,11.81,9,390,47,2.9,0.0,0.0,1.0
48,8.3,8.05,6.96,72.36,7.1,9.3,8.52,6.857142857142857,8.39,6,174,28,2.4,0.0,0.0,1.0
49,8.7,8.41,6.89,66.44,7.3,10.0,9.5,7.571428571428571,7.79,5,146,24,2.4,1.0,0.0,0.0
50,8.0,7.43,6.24,78.89,6.7,8.8,6.67,7.833333333333334,8.89,4,265,29,2.1,0.0,1.0,0.0
51,7.4,7.45,6.1,81.43,5.7,9.0,6.84,7.428571428571429,8.1,4,258,28,2.7,0.0,0.0,1.0
52,9.4,7.87,6.4,75.74,7.9,9.6,6.73,11.2,10.35,5,375,41,1.8,0.0,1.0,0.0
53,8.7,7.1,6.19,79.9,6.3,9.0,8.12,8.0,8.35,6,383,42,1.3,0.0,0.0,1.0
54,8.7,7.74,6.36,77.98,7.0,8.8,7.43,11.0,9.32,6,149,17,1.4,1.0,0.0,0.0
55,10.6,8.65,7.62,60.55,9.6,12.0,9.52,15.25,10.96,7,229,44,1.8,0.0,0.0,1.0
56,8.3,7.29,6.14,72.66,7.0,9.6,8.7,9.0,8.18,6,263,29,2.3,1.0,0.0,0.0
57,10.8,8.3,6.96,74.83,8.2,10.3,8.12,8.666666666666666,11.6,6,260,37,3.5,0.0,0.0,1.0
58,9.3,7.24,6.2,61.16,9.3,10.8,8.24,9.0,9.1,6,259,27,1.5,1.0,0.0,0.0
59,9.7,8.2,6.74,68.6,8.5,10.0,7.83,8.166666666666666,9.85,7,215,29,1.6,1.0,0.0,0.0
60,12.8,10.07,7.24,67.28,9.0,11.6,10.27,11.333333333333334,11.85,9,374,61,5.6,0.0,1.0,0.0
