difficulty,name,link
1.6,Turn It Up!,https://open.kattis.com/problems/skruop
1.6,Goat Rope,https://open.kattis.com/problems/goatrope
1.6,Stafur,https://open.kattis.com/problems/stafur
1.4,Apaxiaaaaaaaaaaaans!,https://open.kattis.com/problems/apaxiaaans
1.5,Skener,https://open.kattis.com/problems/skener
1.7,GCD,https://open.kattis.com/problems/gcd
2.6,Exoplanet Lighthouse,https://open.kattis.com/problems/exoplanetlighthouse
2.5,The Weight Of Words,https://open.kattis.com/problems/weightofwords
1.2,Óvissa,https://open.kattis.com/problems/ovissa
1.5,Logic Functions,https://open.kattis.com/problems/logicfunctions
1.3,Amerískur vinnustaður,https://open.kattis.com/problems/ameriskur
2.6,Keylogger,https://open.kattis.com/problems/keylogger
2.3,Sperhling,https://open.kattis.com/problems/spehrling
1.5,Spavanac,https://open.kattis.com/problems/spavanac
1.6,Úllen dúllen doff,https://open.kattis.com/problems/ullendullendoff
2.5,Eiginnöfn,https://open.kattis.com/problems/eiginnofn
2.0,Packagemanager,https://open.kattis.com/problems/pakethanterare
1.9,Secret Message,https://open.kattis.com/problems/secretmessage
1.5,Cudoviste,https://open.kattis.com/problems/cudoviste
2.6,Curse the Darkness,https://open.kattis.com/problems/cursethedarkness
2.3,Powers of 2 (Easy),https://open.kattis.com/problems/powersof2easy
2.2,Euler's Number,https://open.kattis.com/problems/eulersnumber
1.6,Mumble Rap,https://open.kattis.com/problems/mumblerap
1.6,Digit Product,https://open.kattis.com/problems/sifferprodukt
2.6,SG Coin,https://open.kattis.com/problems/sgcoin
2.0,Bluetooth,https://open.kattis.com/problems/bluetooth
2.6,Closest Sums,https://open.kattis.com/problems/closestsums
1.5,Shattered Cake,https://open.kattis.com/problems/shatteredcake
2.3,Prime Path,https://open.kattis.com/problems/primepath
1.3,Digit Swap,https://open.kattis.com/problems/digitswap
2.0,Recount,https://open.kattis.com/problems/recount
2.3,Charged,https://open.kattis.com/problems/charged
1.7,The Key to Cryptography,https://open.kattis.com/problems/keytocrypto
1.4,Pot,https://open.kattis.com/problems/pot
2.6,Shuffling Along,https://open.kattis.com/problems/shuffling
1.5,Railroad,https://open.kattis.com/problems/railroad2
1.7,Cypher Decypher,https://open.kattis.com/problems/cypherdecypher
1.6,Death Knight Hero,https://open.kattis.com/problems/deathknight
1.8,Tetris,https://open.kattis.com/problems/tetris
1.3,Quality-Adjusted Life-Year,https://open.kattis.com/problems/qaly
2.0,Simple Addition,https://open.kattis.com/problems/simpleaddition
1.5,Provinces and Gold,https://open.kattis.com/problems/provincesandgold
1.5,Harshad Numbers,https://open.kattis.com/problems/harshadnumbers
2.7,Postal Delivery,https://open.kattis.com/problems/delivery
2.3,Gene Block,https://open.kattis.com/problems/geneblock
2.3,Another Brick in the Wall,https://open.kattis.com/problems/anotherbrick
2.4,Thanos,https://open.kattis.com/problems/thanos
2.3,Bottle Flip,https://open.kattis.com/problems/bottleflip
1.8,Plants vs Bad Guys,https://open.kattis.com/problems/pvbg
1.6,Datum,https://open.kattis.com/problems/datum
2.5,Permutation Encryption,https://open.kattis.com/problems/permutationencryption
1.7,Line Them Up,https://open.kattis.com/problems/lineup
2.2,Nimionese,https://open.kattis.com/problems/nimionese
2.2,ReMorse,https://open.kattis.com/problems/remorse
2.5,Word Cloud,https://open.kattis.com/problems/wordcloud
1.4,Knot Knowledge,https://open.kattis.com/problems/knotknowledge
1.5,Dice Game,https://open.kattis.com/problems/dicegame
1.5,ASCII kassi,https://open.kattis.com/problems/asciikassi
2.7,A New Alphabet,https://open.kattis.com/problems/anewalphabet
2.6,The Rectangles Are Surrounding Us!,https://open.kattis.com/problems/rectanglesurrounding
2.0,Inflation,https://open.kattis.com/problems/inflation
2.3,Flow Shop,https://open.kattis.com/problems/flowshop
2.7,Smart Phone,https://open.kattis.com/problems/smartphone
