difficulty,name,link
6.3,Can Tho Expressway,https://open.kattis.com/problems/canthoexpressway
6.6,Powers of 2,https://open.kattis.com/problems/powersof2
5.7,Breaking Cake,https://open.kattis.com/problems/breakingcake
6.2,A Musical Question,https://open.kattis.com/problems/amusicalquestion
7.0,Cutting Edge,https://open.kattis.com/problems/cuttingedge
9.4,Text Processor,https://open.kattis.com/problems/textprocessor
5.7,It's a Secret,https://open.kattis.com/problems/itsasecret
8.7,Sudokunique,https://open.kattis.com/problems/sudokunique
7.7,Ringworld,https://open.kattis.com/problems/ringworld
8.4,Histogrami,https://open.kattis.com/problems/histogrami
8.1,Private Space,https://open.kattis.com/problems/privatespace
7.3,Gondolas,https://open.kattis.com/problems/gondolas
8.9,Bridge building,https://open.kattis.com/problems/bridgebuilding
6.1,PUBNite,https://open.kattis.com/problems/pubnite
6.9,Theme Park,https://open.kattis.com/problems/themepark
5.8,Shibuya Crossing,https://open.kattis.com/problems/shibuyacrossing
9.3,Train Journey,https://open.kattis.com/problems/tagresan
5.5,Pokemon Go Go,https://open.kattis.com/problems/pokemongogo
7.3,Robots,https://open.kattis.com/problems/robots
7.0,Infiltration,https://open.kattis.com/problems/infiltration
7.7,Furry Nuisance,https://open.kattis.com/problems/furrynuisance
8.0,Buenos Airlines,https://open.kattis.com/problems/buenosairlines
6.8,Distinctive Character,https://open.kattis.com/problems/distinctivecharacter
7.7,if-then-else,https://open.kattis.com/problems/ifthenelse
7.3,Crabbles,https://open.kattis.com/problems/crabbles
7.9,Bit 4 Bit,https://open.kattis.com/problems/bit4bit
6.3,JezzBall,https://open.kattis.com/problems/jezzball
9.1,Intertwined,https://open.kattis.com/problems/intertwined
8.0,Range Editing,https://open.kattis.com/problems/rangeediting
5.5,Which Planet is This?!,https://open.kattis.com/problems/planets
5.7,Game of Cards,https://open.kattis.com/problems/gameofcards
5.6,Cvjitici,https://open.kattis.com/problems/cvjetici
5.8,Red Black Tree,https://open.kattis.com/problems/redblacktree
7.8,Triangular Clouds,https://open.kattis.com/problems/triangularclouds
8.3,Cairo Corridor,https://open.kattis.com/problems/cairocorridor
5.5,License Renewal,https://open.kattis.com/problems/licenserenewal
9.3,Magical Mystery Knight's Tour,https://open.kattis.com/problems/magicalmysteryknight
8.9,Reapportionment,https://open.kattis.com/problems/reapportionment
7.2,Lost Map,https://open.kattis.com/problems/lostmap2
7.4,Keep Him Inside,https://open.kattis.com/problems/keephiminside
7.6,Jackdaws And Crows,https://open.kattis.com/problems/jackdawsandcrows
6.7,Walt Bellamy,https://open.kattis.com/problems/waltbellamy
9.6,The Wire Ghost,https://open.kattis.com/problems/thewireghost
8.9,Student Counsel,https://open.kattis.com/problems/studentcounsel
6.5,Flashing Fluorescents,https://open.kattis.com/problems/flashingfluorescents
7.6,Triangles,https://open.kattis.com/problems/triangles
7.8,Notable Quotables,https://open.kattis.com/problems/notablequotables
6.2,GCD and LCM,https://open.kattis.com/problems/gcdandlcm
5.7,Circle,https://open.kattis.com/problems/circle
7.5,Spin Doctor,https://open.kattis.com/problems/spin
7.1,Password Rotation,https://open.kattis.com/problems/passwordrotation
7.1,Bilateral Projects,https://open.kattis.com/problems/bilateral
9.2,The Ending of the End - Part 1,https://open.kattis.com/problems/theendingoftheendpart1
7.4,Nekameleoni,https://open.kattis.com/problems/nekameleoni
6.9,Hotter Colder,https://open.kattis.com/problems/hottercolder
7.9,Classical Counting,https://open.kattis.com/problems/classicalcounting
9.2,IP over Avian Carriers,https://open.kattis.com/problems/avian
5.8,Almost Union-Find,https://open.kattis.com/problems/almostunionfind
6.9,Airline Hub,https://open.kattis.com/problems/airlinehub
6.3,Golf Bot,https://open.kattis.com/problems/golfbot
6.4,Cheaper Drink,https://open.kattis.com/problems/cheaperdrink
5.8,Sparkle's Seven,https://open.kattis.com/problems/sparklesseven
6.6,Growing Up is Hard to Do,https://open.kattis.com/problems/growingupishardtodo
6.5,RúnaHeimur,https://open.kattis.com/problems/runaheimur
7.7,Umbral Decoding,https://open.kattis.com/problems/umbraldecoding
6.3,Bulldozer,https://open.kattis.com/problems/bulldozer
5.8,Arcade!,https://open.kattis.com/problems/arcade
8.1,Division,https://open.kattis.com/problems/division
7.2,Homework,https://open.kattis.com/problems/homework
7.5,Hammer Time,https://open.kattis.com/problems/hammertime
6.2,Just A Few More Triangles!,https://open.kattis.com/problems/moretriangles
6.4,Lefties vs. Righties,https://open.kattis.com/problems/leftiesvsrighties
6.3,Halting After All,https://open.kattis.com/problems/haltingafterall
6.0,Zipf's Law,https://open.kattis.com/problems/zipfslaw
5.8,Wipe Your Whiteboards,https://open.kattis.com/problems/wipeyourwhiteboards
7.5,Matrix Fraud,https://open.kattis.com/problems/matrixfraud
8.6,Darts,https://open.kattis.com/problems/darts
7.7,Carpool,https://open.kattis.com/problems/carpool
6.9,Committee Assignment,https://open.kattis.com/problems/committeeassignment
