difficulty,name,link
3.6,Game Theory,https://open.kattis.com/problems/gametheory
4.9,Doodling,https://open.kattis.com/problems/doodling
3.3,Golomb Rulers,https://open.kattis.com/problems/golombrulers
5.0,Decelerating Jump,https://open.kattis.com/problems/deceleratingjump
3.4,Trick or Treat,https://open.kattis.com/problems/tricktreat
4.5,Digital Content Protection,https://open.kattis.com/problems/contentprotection
3.9,Candy Distribution,https://open.kattis.com/problems/candydistribution
2.9,Brexit,https://open.kattis.com/problems/brexit
4.9,Road To Savings,https://open.kattis.com/problems/roadtosavings
4.6,Familiar Digit,https://open.kattis.com/problems/familiar
5.0,Linear Recurrences,https://open.kattis.com/problems/linearrecurrence
3.0,Triangle Drama,https://open.kattis.com/problems/triangledrama
3.2,Path Tracing,https://open.kattis.com/problems/pathtracing
3.9,Hurricane Danger!,https://open.kattis.com/problems/hurricanedanger
4.6,Historic Exhibition,https://open.kattis.com/problems/historicexhibition
3.0,Square Peg in a Round Hole,https://open.kattis.com/problems/squarepegs
5.3,Space Probe,https://open.kattis.com/problems/spaceprobe
4.5,Hrpa,https://open.kattis.com/problems/hrpa
3.4,Framvindustika,https://open.kattis.com/problems/framvindustika
3.4,The Maze Makers,https://open.kattis.com/problems/mazemakers
4.4,Programming Tutors,https://open.kattis.com/problems/programmingtutors
5.2,VivoParc,https://open.kattis.com/problems/vivoparc
3.6,(More) Multiplication,https://open.kattis.com/problems/multiplication
3.6,The Ups and Downs of Investing,https://open.kattis.com/problems/upsanddownsofinvesting
4.0,Social Advertising,https://open.kattis.com/problems/socialadvertising
4.0,Witch Dance,https://open.kattis.com/problems/witchdance
3.1,Primary Arithmetic,https://open.kattis.com/problems/primaryarithmetic
3.7,Rotate and Cut,https://open.kattis.com/problems/rotatecut
5.2,Sensor Network,https://open.kattis.com/problems/sensornetwork
4.2,Fantasy Draft,https://open.kattis.com/problems/fantasydraft
3.9,Karl Coder,https://open.kattis.com/problems/karlcoder
4.1,Razgovori,https://open.kattis.com/problems/razgovori
4.2,Slide Count,https://open.kattis.com/problems/slidecount
4.9,Bungee Jumping,https://open.kattis.com/problems/bungeejumping
5.3,Subway,https://open.kattis.com/problems/subway2
3.7,Killing Aliens in a Borg Maze,https://open.kattis.com/problems/borg
3.3,Tile Cutting,https://open.kattis.com/problems/tiles
3.4,Book Shelves,https://open.kattis.com/problems/bokhyllor
5.4,A Question of Ingestion,https://open.kattis.com/problems/ingestion
3.5,Tenis,https://open.kattis.com/problems/tenis
4.1,Decorative Dominoes,https://open.kattis.com/problems/decorativedominoes
4.8,Unusual Darts,https://open.kattis.com/problems/unusualdarts
5.2,Divisor Shuffle,https://open.kattis.com/problems/divisorshuffle
4.3,Bits Equalizer,https://open.kattis.com/problems/bitsequalizer
4.7,Magic Cube,https://open.kattis.com/problems/magiccube
5.3,Joint Excavation,https://open.kattis.com/problems/jointexcavation
3.8,Nature Reserve,https://open.kattis.com/problems/naturereserve
5.4,Island Tour,https://open.kattis.com/problems/islandtour
5.0,Fair Warning,https://open.kattis.com/problems/fairwarning
3.9,RSA Mistake,https://open.kattis.com/problems/rsamistake
3.6,Hacking the Screen,https://open.kattis.com/problems/screen
4.9,Dance Pad,https://open.kattis.com/problems/dansmatta
5.0,Floor Area,https://open.kattis.com/problems/golvyta
3.1,Anagram Counting,https://open.kattis.com/problems/anagramcounting
