ARI,DCR,DCR_V2,FRE,FKG,SMOG,CLI,LINSEAR,GF,Textstd,LexCount,Difficult Words,Difficulty
7.3,7.44,6.12,70.94,7.6,10.3,6.2,10.333333333333334,8.69,2.0,310,32,3.0
9.1,9.25,7.34,64.71,8.0,11.9,8.87,7.875,9.83,2.0,240,45,3.3
5.4,7.74,6.35,74.29,6.4,10.0,5.62,7.571428571428571,7.16,2.0,125,16,2.7
7.8,7.52,5.91,78.79,6.7,8.1,6.32,6.571428571428571,7.97,2.0,284,25,4.0
8.2,7.41,6.18,79.19,6.5,8.0,6.44,8.166666666666666,8.11,2.0,244,26,2.0
6.6,7.25,6.46,71.04,7.6,9.2,5.28,8.5,9.17,1.0,120,15,2.3
7.5,9.63,7.6,64.1,8.2,10.3,7.02,7.2857142857142865,9.18,2.0,109,22,2.4
8.1,8.07,6.88,66.44,7.3,9.8,8.57,5.555555555555555,8.13,3.0,385,63,3.8
14.4,8.25,6.98,52.12,12.8,13.0,9.29,21.0,13.59,5.0,548,69,1.7
8.5,8.13,7.01,63.29,8.5,10.9,8.35,7.7142857142857135,9.67,3.0,296,48,3.9
8.3,9.31,6.73,75.3,6.0,8.8,6.66,7.0,6.19,1.0,116,18,1.4
10.3,7.88,6.85,54.52,9.8,12.4,10.21,9.0,9.98,4.0,351,53,3.3
8.4,7.12,5.85,77.57,7.2,9.0,6.44,10.8,9.09,1.0,323,26,2.2
10.4,7.86,6.91,66.67,9.3,12.1,7.95,11.0,11.28,2.0,235,33,8.9
7.5,9.02,6.71,81.22,5.8,8.8,7.01,6.857142857142857,8.44,3.0,123,18,3.5
11.8,8.56,7.03,66.67,9.3,10.9,8.7,12.2,11.01,3.0,278,41,2.0
8.3,8.89,6.43,71.04,7.6,9.7,7.19,7.0,8.92,3.0,154,19,3.8
7.0,8.14,6.18,62.88,8.7,10.8,5.57,8.142857142857142,9.31,3.0,185,20,3.1
9.7,8.13,6.84,61.36,9.2,10.5,8.59,8.833333333333334,9.5,3.0,110,16,3.2
9.6,7.03,6.05,75.13,8.1,11.5,6.85,11.8,10.12,1.0,257,22,4.3
12.1,10.14,7.48,61.87,9.1,12.3,11.37,10.333333333333334,10.37,4.0,160,30,1.4
7.7,8.65,7.38,74.39,6.3,9.2,8.52,6.25,8.1,3.0,124,24,3.3
12.1,7.62,6.08,72.19,9.2,11.4,8.25,18.666666666666668,11.22,,267,21,2.1
12.9,9.11,8.12,50.87,11.2,13.3,11.55,14.2,12.73,5.0,304,67,1.4
11.6,8.79,7.37,53.31,10.3,11.4,10.96,10.666666666666666,10.59,,233,42,4.0
11.0,8.38,7.0,60.35,9.6,11.7,9.52,13.0,10.57,4.0,309,47,1.7
8.2,8.62,6.68,67.35,6.9,11.0,8.16,14.2,7.88,2.0,260,40,2.7
14.6,8.37,7.4,56.49,11.1,12.6,12.25,12.2,12.13,5.0,277,46,2.7
22.5,9.89,8.36,29.56,19.4,18.6,10.29,34.0,18.46,,124,21,2.3
11.8,9.63,8.17,47.49,10.4,13.3,12.4,10.571428571428571,11.55,,184,44,1.3
9.9,8.01,6.76,63.9,8.3,11.5,9.57,8.714285714285714,8.22,3.0,189,28,1.9
10.4,8.44,7.16,67.59,8.9,10.1,8.3,7.833333333333334,10.48,3.0,246,39,3.5
9.9,9.57,7.67,71.65,7.4,10.8,9.68,7.142857142857142,10.12,4.0,182,37,1.4
10.1,7.6,6.43,71.89,9.3,12.0,5.75,12.4,11.83,,443,44,5.1
7.1,7.75,6.39,59.7,7.8,11.6,8.45,7.0,8.09,2.0,58,8,2.6
8.7,10.06,6.98,61.16,9.3,11.2,6.85,13.8,10.39,3.0,241,37,1.7
7.8,8.17,6.48,79.4,6.5,9.7,6.61,8.666666666666666,9.21,1.0,103,13,1.5
7.6,7.08,6.39,74.49,6.3,9.6,8.58,7.428571428571429,7.52,2.0,137,18,2.2
